title,company,location,experience,salary,url,tags,source
Software Engineer ( Backend ),Elevate Ecosystem Private Limited,Bangalore,1-3 years,"₹ 8,00,000 - 15,00,000",https://internshala.com//job/detail/software-engineer--backend--job-in-bangalore-at-elevate-ecosystem-private-limited1718700189,,Internshala
Senior Research Analyst,Ethnographic Medical Research Private Limited,Bangalore,1-3 years,"₹ 5,00,000 - 10,00,000",https://internshala.com//job/details/senior-research-analyst-job-in-bangalore-at-ethnographic-medical-research-private-limited1718965222,,Internshala
MEAN Stack Developer,Vizlogic Digital Solutions Private Limited,Bangalore,1-3 years,"₹ 3,00,000 - 8,00,000",https://internshala.com//job/detail/mean-stack-developer-job-in-bangalore-at-vizlogic-digital-solutions-private-limited1715128665,,Internshala
Business Analyst,HAVILAH HANSEL TECH VENTURES PRIVATE LIMITED,Bangalore,1-4 years,"₹ 2,25,000 - 4,00,000",https://internshala.com//job/details/business-analyst-job-in-bangalore-at-havilah-hansel-tech-ventures-private-limited1719291528,,Internshala
Data Analyst,Simplilearn Solutions Private Limited,Bangalore,1-3 years,Competitive salary,https://internshala.com//job/detail/data-analyst-job-in-bangalore-at-simplilearn-solutions-private-limited1718778578,,Internshala
Data Scientist,Infosys,"Bengaluru East, Karnataka, India",0-3 years,,https://in.linkedin.com/jobs/view/data-scientist-at-infosys-3879841489?position=1&pageNum=0&refId=889uamKJkr96fIm3YB8Ipg%3D%3D&trackingId=rwXm52QBB4hyXy7U0EBfig%3D%3D&trk=public_jobs_jserp-result_search-card,,Linkedin
Data Science,Infosys,"Bengaluru East, Karnataka, India",0-3 years,,https://in.linkedin.com/jobs/view/data-science-at-infosys-3883384532?position=2&pageNum=0&refId=889uamKJkr96fIm3YB8Ipg%3D%3D&trackingId=ppOmoZ%2F8mFgp82tQCW6%2F3w%3D%3D&trk=public_jobs_jserp-result_search-card,,Linkedin
Data Scientist,Myntra,"Bengaluru, Karnataka, India",0-3 years,,https://in.linkedin.com/jobs/view/data-scientist-at-myntra-3935614335?position=3&pageNum=0&refId=889uamKJkr96fIm3YB8Ipg%3D%3D&trackingId=WHuoozfWQ4QLVHbNYiSzIA%3D%3D&trk=public_jobs_jserp-result_search-card,,Linkedin
Interesting Job Opportunity: KreditBee - Data Analyst - Python/MySQL,KreditBee,"Bengaluru, Karnataka, India",0-3 years,,https://in.linkedin.com/jobs/view/interesting-job-opportunity-kreditbee-data-analyst-python-mysql-at-kreditbee-3871603679?position=4&pageNum=0&refId=889uamKJkr96fIm3YB8Ipg%3D%3D&trackingId=RgdXSsZ7S3VFzuTJ3ach2g%3D%3D&trk=public_jobs_jserp-result_search-card,,Linkedin
Healthcare Business Analyst,Infosys,"Bengaluru East, Karnataka, India",0-3 years,,https://in.linkedin.com/jobs/view/healthcare-business-analyst-at-infosys-3884571456?position=5&pageNum=0&refId=889uamKJkr96fIm3YB8Ipg%3D%3D&trackingId=Tmiss8sQ6ZZy35U%2FUNu%2B1w%3D%3D&trk=public_jobs_jserp-result_search-card,,Linkedin
"Software Engineer, University Graduate, 2025",Google,"Bengaluru, Karnataka, India",0-3 years,,https://in.linkedin.com/jobs/view/software-engineer-university-graduate-2025-at-google-3951084286?position=6&pageNum=0&refId=889uamKJkr96fIm3YB8Ipg%3D%3D&trackingId=OuuH140%2FELihL0oi3UNJJQ%3D%3D&trk=public_jobs_jserp-result_search-card,,Linkedin
Industrial Data Scientist,GE Digital,"Bengaluru East, Karnataka, India",0-3 years,,https://in.linkedin.com/jobs/view/industrial-data-scientist-at-ge-digital-3936113055?position=7&pageNum=0&refId=889uamKJkr96fIm3YB8Ipg%3D%3D&trackingId=lJYKlAzqQ1453QMKVG3k8Q%3D%3D&trk=public_jobs_jserp-result_search-card,,Linkedin
Junior Analytics Consultant,AB InBev GCC India,"Bengaluru, Karnataka, India",0-3 years,,https://in.linkedin.com/jobs/view/junior-analytics-consultant-at-ab-inbev-gcc-india-3916747425?position=8&pageNum=0&refId=889uamKJkr96fIm3YB8Ipg%3D%3D&trackingId=gj7NGFZtawuEuPzQT2XnZw%3D%3D&trk=public_jobs_jserp-result_search-card,,Linkedin
Data Scientist,Organic Mandya,"Bengaluru, Karnataka, India",0-3 years,,https://in.linkedin.com/jobs/view/data-scientist-at-organic-mandya-3936811768?position=9&pageNum=0&refId=889uamKJkr96fIm3YB8Ipg%3D%3D&trackingId=qqTkLXFk8bX6fqX0DkxA7Q%3D%3D&trk=public_jobs_jserp-result_search-card,,Linkedin
Data Science,Spectral Consultants,"Bangalore Urban, Karnataka, India",0-3 years,,https://in.linkedin.com/jobs/view/data-science-at-spectral-consultants-3943842033?position=10&pageNum=0&refId=889uamKJkr96fIm3YB8Ipg%3D%3D&trackingId=LU48tUTUeWGgUPDLzbcrPw%3D%3D&trk=public_jobs_jserp-result_search-card,,Linkedin
DATA SCIENTIST,Niyoto,"Bengaluru, Karnataka, India",0-3 years,,https://in.linkedin.com/jobs/view/data-scientist-at-niyoto-3822404096?position=11&pageNum=0&refId=889uamKJkr96fIm3YB8Ipg%3D%3D&trackingId=UHrh0yigTNVxwhXnBzj8vw%3D%3D&trk=public_jobs_jserp-result_search-card,,Linkedin
Analyst,slice,"Bengaluru, Karnataka, India",0-3 years,,https://in.linkedin.com/jobs/view/analyst-at-slice-3941159606?position=12&pageNum=0&refId=889uamKJkr96fIm3YB8Ipg%3D%3D&trackingId=MQy9tpslfbMv8JDdIs1MxA%3D%3D&trk=public_jobs_jserp-result_search-card,,Linkedin
Data Analyst,UST,"Bengaluru, Karnataka, India",0-3 years,,https://in.linkedin.com/jobs/view/data-analyst-at-ust-3931390100?position=13&pageNum=0&refId=889uamKJkr96fIm3YB8Ipg%3D%3D&trackingId=nkJUFuQDJx9eTXp%2BA24%2F6Q%3D%3D&trk=public_jobs_jserp-result_search-card,,Linkedin
Digital Marketing Analyst,Infosys,"Bengaluru East, Karnataka, India",0-3 years,,https://in.linkedin.com/jobs/view/digital-marketing-analyst-at-infosys-3882959456?position=14&pageNum=0&refId=889uamKJkr96fIm3YB8Ipg%3D%3D&trackingId=hk9iuxYh%2B6jopgnbOYqlWg%3D%3D&trk=public_jobs_jserp-result_search-card,,Linkedin
Analyst/Senior Analyst - Data Analytics,D. E. Shaw India Private Limited,"Bengaluru, Karnataka, India",0-3 years,,https://in.linkedin.com/jobs/view/analyst-senior-analyst-data-analytics-at-d-e-shaw-india-private-limited-3905200764?position=15&pageNum=0&refId=889uamKJkr96fIm3YB8Ipg%3D%3D&trackingId=ygdBQ6tA736GqGtiPT%2FAgw%3D%3D&trk=public_jobs_jserp-result_search-card,,Linkedin
ICETS _Python AI/ML/ Data Scientist - Q1-FY-25,Infosys,"Bengaluru East, Karnataka, India",0-3 years,,https://in.linkedin.com/jobs/view/icets-python-ai-ml-data-scientist-q1-fy-25-at-infosys-3889435675?position=16&pageNum=0&refId=889uamKJkr96fIm3YB8Ipg%3D%3D&trackingId=bAuu%2BuVbkLreeHT7mrkiXQ%3D%3D&trk=public_jobs_jserp-result_search-card,,Linkedin
Data Analyst,Myntra,"Bengaluru, Karnataka, India",0-3 years,,https://in.linkedin.com/jobs/view/data-analyst-at-myntra-3913835920?position=17&pageNum=0&refId=889uamKJkr96fIm3YB8Ipg%3D%3D&trackingId=C8MTO4RKZg7D%2BGLVQDkQnA%3D%3D&trk=public_jobs_jserp-result_search-card,,Linkedin
Industrial Data Scientist,GE Vernova,"Bengaluru, Karnataka, India",0-3 years,,https://in.linkedin.com/jobs/view/industrial-data-scientist-at-ge-vernova-3936221014?position=18&pageNum=0&refId=889uamKJkr96fIm3YB8Ipg%3D%3D&trackingId=wErYUNtcbrwToNdKJ79Cqw%3D%3D&trk=public_jobs_jserp-result_search-card,,Linkedin
Data Scientist,Gururo,"Bangalore Urban, Karnataka, India",0-3 years,,https://in.linkedin.com/jobs/view/data-scientist-at-gururo-3865876615?position=19&pageNum=0&refId=889uamKJkr96fIm3YB8Ipg%3D%3D&trackingId=lifFyLOJ9ur6BJF%2FNhCGog%3D%3D&trk=public_jobs_jserp-result_search-card,,Linkedin
Data Scientist,Acme Services,"Bengaluru, Karnataka, India",0-3 years,,https://in.linkedin.com/jobs/view/data-scientist-at-acme-services-3888472011?position=20&pageNum=0&refId=889uamKJkr96fIm3YB8Ipg%3D%3D&trackingId=r3Gavymn%2FRiNUEDwLEdG9g%3D%3D&trk=public_jobs_jserp-result_search-card,,Linkedin
Data Analytics_SQL_Developer,Infosys,"Bengaluru East, Karnataka, India",0-3 years,,https://in.linkedin.com/jobs/view/data-analytics-sql-developer-at-infosys-3881761000?position=21&pageNum=0&refId=889uamKJkr96fIm3YB8Ipg%3D%3D&trackingId=f5cTUhEc4n2bpQpT2zN%2BGA%3D%3D&trk=public_jobs_jserp-result_search-card,,Linkedin
Data Analyst,OpenCV University,"Bengaluru, Karnataka, India",0-3 years,,https://in.linkedin.com/jobs/view/data-analyst-at-opencv-university-3906305504?position=22&pageNum=0&refId=889uamKJkr96fIm3YB8Ipg%3D%3D&trackingId=taSE5IWMvu6q6WZ%2BgfWm7w%3D%3D&trk=public_jobs_jserp-result_search-card,,Linkedin
Junior Data Scientist - Machine Learning/Artificial Intelligence,Aptus Data Labs,"Bengaluru, Karnataka, India",0-3 years,,https://in.linkedin.com/jobs/view/junior-data-scientist-machine-learning-artificial-intelligence-at-aptus-data-labs-3939080059?position=23&pageNum=0&refId=889uamKJkr96fIm3YB8Ipg%3D%3D&trackingId=O14ipkz1W8ZWNfn1NUsC8Q%3D%3D&trk=public_jobs_jserp-result_search-card,,Linkedin
Customer Support Business Intelligence Analyst,PhonePe,"Bengaluru, Karnataka, India",0-3 years,,https://in.linkedin.com/jobs/view/customer-support-business-intelligence-analyst-at-phonepe-3924542229?position=24&pageNum=0&refId=889uamKJkr96fIm3YB8Ipg%3D%3D&trackingId=TYByEFJ8sYWHt82M3utZxw%3D%3D&trk=public_jobs_jserp-result_search-card,,Linkedin
Business Analyst-RPA,Infosys,"Bengaluru East, Karnataka, India",0-3 years,,https://in.linkedin.com/jobs/view/business-analyst-rpa-at-infosys-3901099814?position=25&pageNum=0&refId=889uamKJkr96fIm3YB8Ipg%3D%3D&trackingId=m5u8qDLEyykf8DepHhjbYA%3D%3D&trk=public_jobs_jserp-result_search-card,,Linkedin
Data Science & ML Engineer,RentoMojo,"Bengaluru, Karnataka, India",0-3 years,,https://in.linkedin.com/jobs/view/data-science-ml-engineer-at-rentomojo-3945211381?position=26&pageNum=0&refId=889uamKJkr96fIm3YB8Ipg%3D%3D&trackingId=FocS99KESFognd%2BIOfYugQ%3D%3D&trk=public_jobs_jserp-result_search-card,,Linkedin
Data Science,Spectral Consultants,"Bengaluru, Karnataka, India",0-3 years,,https://in.linkedin.com/jobs/view/data-science-at-spectral-consultants-3944979486?position=27&pageNum=0&refId=889uamKJkr96fIm3YB8Ipg%3D%3D&trackingId=gu8%2BOKVPOPGxUbGA7%2Fy94Q%3D%3D&trk=public_jobs_jserp-result_search-card,,Linkedin
Data Scientist,Sybex Support Services,"Bengaluru, Karnataka, India",0-3 years,,https://in.linkedin.com/jobs/view/data-scientist-at-sybex-support-services-3806658657?position=28&pageNum=0&refId=889uamKJkr96fIm3YB8Ipg%3D%3D&trackingId=hcVI%2FVmURC4fcyTZjT31ew%3D%3D&trk=public_jobs_jserp-result_search-card,,Linkedin
Data Scientist,Prescience Decision Solutions,"Bengaluru, Karnataka, India",0-3 years,,https://in.linkedin.com/jobs/view/data-scientist-at-prescience-decision-solutions-3956117943?position=29&pageNum=0&refId=889uamKJkr96fIm3YB8Ipg%3D%3D&trackingId=eGNtEOF%2Fn4eDM%2FF8xHGI8A%3D%3D&trk=public_jobs_jserp-result_search-card,,Linkedin
Python Developer (Fresher Graduate),Clinchfactor Solutions,"Bengaluru East, Karnataka, India",0-3 years,,https://in.linkedin.com/jobs/view/python-developer-fresher-graduate-at-clinchfactor-solutions-3954284308?position=30&pageNum=0&refId=889uamKJkr96fIm3YB8Ipg%3D%3D&trackingId=0WjuXXE2so4kWgw2UAl2og%3D%3D&trk=public_jobs_jserp-result_search-card,,Linkedin
Data Analyst II - JioCinema,Viacom18 Media Private Limited,"Bengaluru, Karnataka, India",0-3 years,,https://in.linkedin.com/jobs/view/data-analyst-ii-jiocinema-at-viacom18-media-private-limited-3900521372?position=31&pageNum=0&refId=889uamKJkr96fIm3YB8Ipg%3D%3D&trackingId=2Ty3FaWMBDoluovSJ8k5NA%3D%3D&trk=public_jobs_jserp-result_search-card,,Linkedin
Data Analyst,Rystad Energy,"Bengaluru, Karnataka, India",0-3 years,,https://in.linkedin.com/jobs/view/data-analyst-at-rystad-energy-3960099271?position=32&pageNum=0&refId=889uamKJkr96fIm3YB8Ipg%3D%3D&trackingId=P38tM%2BtY2UCS2Yu5mKGRxg%3D%3D&trk=public_jobs_jserp-result_search-card,,Linkedin
Data Scientist,NEWME,"Bengaluru, Karnataka, India",0-3 years,,https://in.linkedin.com/jobs/view/data-scientist-at-newme-3959341939?position=33&pageNum=0&refId=889uamKJkr96fIm3YB8Ipg%3D%3D&trackingId=XTQsQQY0mWt9a3V06YCscQ%3D%3D&trk=public_jobs_jserp-result_search-card,,Linkedin
Software Engineer (ML/AI Models),Soroco,"Bengaluru, Karnataka, India",0-3 years,,https://in.linkedin.com/jobs/view/software-engineer-ml-ai-models-%E2%80%AF-at-soroco-3955778203?position=34&pageNum=0&refId=889uamKJkr96fIm3YB8Ipg%3D%3D&trackingId=zj4qnQZ%2F9kmvbJkLe6rKBA%3D%3D&trk=public_jobs_jserp-result_search-card,,Linkedin
SQL Developer,dentsu,"Bengaluru, Karnataka, India",0-3 years,,https://in.linkedin.com/jobs/view/sql-developer-at-dentsu-3684295405?position=35&pageNum=0&refId=889uamKJkr96fIm3YB8Ipg%3D%3D&trackingId=85iymy%2B26%2FnnxL7ZYUR3rg%3D%3D&trk=public_jobs_jserp-result_search-card,,Linkedin
AIML - Test Automation,Infosys,"Bengaluru East, Karnataka, India",0-3 years,,https://in.linkedin.com/jobs/view/aiml-test-automation-at-infosys-3924739594?position=36&pageNum=0&refId=889uamKJkr96fIm3YB8Ipg%3D%3D&trackingId=DpqEs0p2ALSFZRhHoe2P1Q%3D%3D&trk=public_jobs_jserp-result_search-card,,Linkedin
Media Analyst,LTIMindtree,"Bengaluru, Karnataka, India",0-3 years,,https://in.linkedin.com/jobs/view/media-analyst-at-ltimindtree-3938841557?position=37&pageNum=0&refId=889uamKJkr96fIm3YB8Ipg%3D%3D&trackingId=dFEjL46FZi4AKr5Fzt5Wfw%3D%3D&trk=public_jobs_jserp-result_search-card,,Linkedin
Media Analyst,LTIMindtree,"Bengaluru, Karnataka, India",0-3 years,,https://in.linkedin.com/jobs/view/media-analyst-at-ltimindtree-3938839959?position=38&pageNum=0&refId=889uamKJkr96fIm3YB8Ipg%3D%3D&trackingId=GQJJHKYZwVbtmJmxWfoDlg%3D%3D&trk=public_jobs_jserp-result_search-card,,Linkedin
ESG - Data Analyst,Biocon,"Bengaluru, Karnataka, India",0-3 years,,https://in.linkedin.com/jobs/view/esg-data-analyst-at-biocon-3952531066?position=39&pageNum=0&refId=889uamKJkr96fIm3YB8Ipg%3D%3D&trackingId=%2FmxVZoA5HPvXu1Lz0vbw3w%3D%3D&trk=public_jobs_jserp-result_search-card,,Linkedin
Data Scientist,Digimoksha Solutions,"Bagalur, Karnataka, India",0-3 years,,https://in.linkedin.com/jobs/view/data-scientist-at-digimoksha-solutions-3950772645?position=40&pageNum=0&refId=889uamKJkr96fIm3YB8Ipg%3D%3D&trackingId=CI2b65T3z9H5aAEsaO%2BFsA%3D%3D&trk=public_jobs_jserp-result_search-card,,Linkedin
AIML - Test Automation,Infosys,"Bengaluru East, Karnataka, India",0-3 years,,https://in.linkedin.com/jobs/view/aiml-test-automation-at-infosys-3925470826?position=41&pageNum=0&refId=889uamKJkr96fIm3YB8Ipg%3D%3D&trackingId=JWC8fk478ITETPxrUXsXeA%3D%3D&trk=public_jobs_jserp-result_search-card,,Linkedin
"Software Engineer (AI, ML, Python)",DATAMTX LLC,"Bengaluru, Karnataka, India",0-3 years,,https://in.linkedin.com/jobs/view/software-engineer-ai-ml-python-at-datamtx-llc-3905169713?position=42&pageNum=0&refId=889uamKJkr96fIm3YB8Ipg%3D%3D&trackingId=2nfXTKGgl7MXGJUz62tF7w%3D%3D&trk=public_jobs_jserp-result_search-card,,Linkedin
Data Scientist,BrandMuscle,"Bengaluru, Karnataka, India",0-3 years,,https://in.linkedin.com/jobs/view/data-scientist-at-brandmuscle-3792489117?position=43&pageNum=0&refId=889uamKJkr96fIm3YB8Ipg%3D%3D&trackingId=5MbS1LfxhcoMSgAp%2BSN3SA%3D%3D&trk=public_jobs_jserp-result_search-card,,Linkedin
Data Scientist,Loyalytics AI,"Bengaluru East, Karnataka, India",0-3 years,,https://in.linkedin.com/jobs/view/data-scientist-at-loyalytics-ai-3947003560?position=44&pageNum=0&refId=889uamKJkr96fIm3YB8Ipg%3D%3D&trackingId=sbemshveTY8p0a%2FCNC2Hug%3D%3D&trk=public_jobs_jserp-result_search-card,,Linkedin
Financial Analyst,Bottomline,"Bengaluru, Karnataka, India",0-3 years,,https://in.linkedin.com/jobs/view/financial-analyst-at-bottomline-3953504816?position=45&pageNum=0&refId=889uamKJkr96fIm3YB8Ipg%3D%3D&trackingId=uWfaHQxCrGF20tKKDEIKuQ%3D%3D&trk=public_jobs_jserp-result_search-card,,Linkedin
Data Scientist(HR Analytics),"o9 Solutions, Inc.",Greater Bengaluru Area,0-3 years,,https://in.linkedin.com/jobs/view/data-scientist-hr-analytics-at-o9-solutions-inc-3939212262?position=46&pageNum=0&refId=889uamKJkr96fIm3YB8Ipg%3D%3D&trackingId=ksYZR8A7a7bMy9VeHBlmkA%3D%3D&trk=public_jobs_jserp-result_search-card,,Linkedin
Product Analyst,Revly,"Bengaluru, Karnataka, India",0-3 years,,https://in.linkedin.com/jobs/view/product-analyst-at-revly-3860008205?position=47&pageNum=0&refId=889uamKJkr96fIm3YB8Ipg%3D%3D&trackingId=dlZ2%2FuDbypx1vrlqoX2fgg%3D%3D&trk=public_jobs_jserp-result_search-card,,Linkedin
Artificial Intelligence,PyjamaHR Middleware Test Company,"Bengaluru, Karnataka, India",0-3 years,,https://in.linkedin.com/jobs/view/artificial-intelligence-at-pyjamahr-middleware-test-company-3932283998?position=48&pageNum=0&refId=889uamKJkr96fIm3YB8Ipg%3D%3D&trackingId=YCemN0C6tANPz6MEHN8W4Q%3D%3D&trk=public_jobs_jserp-result_search-card,,Linkedin
Data Scientist,upliance.ai,"Bengaluru, Karnataka, India",0-3 years,,https://in.linkedin.com/jobs/view/data-scientist-at-upliance-ai-3950211185?position=49&pageNum=0&refId=889uamKJkr96fIm3YB8Ipg%3D%3D&trackingId=hDFRjSSalDIVsw26enBP6w%3D%3D&trk=public_jobs_jserp-result_search-card,,Linkedin
Data Scientist-HR Analytics,"o9 Solutions, Inc.",Greater Bengaluru Area,0-3 years,,https://in.linkedin.com/jobs/view/data-scientist-hr-analytics-at-o9-solutions-inc-3939208422?position=51&pageNum=0&refId=889uamKJkr96fIm3YB8Ipg%3D%3D&trackingId=PfPov%2BOd0U6X6dXW9t%2BYOg%3D%3D&trk=public_jobs_jserp-result_search-card,,Linkedin
